Wire,orig M:S,Time,Original,Edit 1,Duration,End Time
15,0:00,0,50,50,45,5
1,6:49,408,230,230,230,438
2,7:40,459.6,230,230,230,489.6
6,17:23,862.56,230,150,100,877.56
6,17:40,879.6,230,230,90,889.6
12,17:42,881.7,100,230,230,911.7
8,17:50,890.22,100,230,230,920.22
13,18:17,917.04,100,230,90,927.04
5,18:22,922.14,100,100,90,932.14
9,18:31,930.66,100,230,100,945.66
3,18:31,930.66,100,100,100,945.66
5,18:43,943.38,100,54,230,973.38
7,19:09,968.94,230,230,180,988.94
8,19:26,985.98,150,230,180,1005.98
4,19:28,988.08,150,170,180,1008.08
4,19:47,1007.22,100,230,235,1032.22
8,20:13,1032.78,100,230,230,1062.78
7,20:13,1032.78,100,230,230,1062.78
12,22:33,1173.18,100,230,230,1203.18
10,22:59,1198.74,150,230,235,1223.74
11,23:05,1205.1,150,230,230,1235.01
12,23:24,1224.24,130,115,180,1244.24
12,23:37,1237.02,130,170,180,1257.02
12,23:56,1256.16,130,230,230,1286.16
10,24:15,1275.3,150,230,230,1305.3
8,24:54,1313.64,230,230,230,1343.64
8,28:56,1556.16,100,230,180,1576.16
13,28:56,1556.16,100,230,180,1576.16
15,29:09,1568.94,150,230,230,1598.94
12,31:17,1696.62,150,230,230,1726.62
5,36:23,2002.98,150,230,230,2032.98
14,37:59,2098.74,0,230,230,2128.74
3,40:00,2220,150,230,230,2250
4,40:26,2245.56,150,230,230,2275.56
12,43:56,2456.16,230,230,230,2486.16
9,60:00,3060,230,230,230,3090
