Wire,Time,Duration
1,102.135,270
2,114.9,270
6,260.64,270
6,264.9,270
12,265.425,100
8,267.555,270
13,274.26,270
5,275.535,270
9,277.665,270
3,277.665,270
5,280.845,100
5,280.845,100
5,280.845,100
5,280.845,100
7,287.235,270
8,291.495,270
4,292.02,100
4,296.805,270
8,303.195,270
7,303.195,270
12,338.295,270
10,344.685,270
11,346.275,270
12,351.06,270
12,354.255,270
12,359.04,270
10,363.825,270
8,373.41,270
8,434.04,100
13,434.04,100
15,437.235,270
12,469.155,270
5,545.745,270
14,569.685,270
3,600,270
4,606.39,270
12,659.04,270
9,900,270
